Year,Country of origin,Country of origin (ISO),CountryOfAsylum,Country of asylum (ISO),RefugeesTotal
1996,Poland,POL,United Kingdom of Great Britain and Northern Ireland,GBR,5
1996,Poland,POL,Netherlands (Kingdom of the),NLD,168
1996,Poland,POL,United States of America,USA,301
1996,Portugal,PRT,Australia,AUS,9
1996,Portugal,PRT,United States of America,USA,5
1996,Romania,ROU,Australia,AUS,28
1996,Romania,ROU,United Kingdom of Great Britain and Northern Ireland,GBR,79
1996,Romania,ROU,Netherlands (Kingdom of the),NLD,318
1996,Romania,ROU,United States of America,USA,2833
1996,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,20
1996,South Africa,ZAF,Netherlands (Kingdom of the),NLD,62
1996,South Africa,ZAF,United States of America,USA,35
1996,Russian Federation,RUS,Australia,AUS,3693
1996,Russian Federation,RUS,United Kingdom of Great Britain and Northern Ireland,GBR,169
1996,Russian Federation,RUS,Netherlands (Kingdom of the),NLD,1072
1996,Russian Federation,RUS,United States of America,USA,156844
1996,Rwanda,RWA,Australia,AUS,16
1996,Rwanda,RWA,Netherlands (Kingdom of the),NLD,107
1996,Rwanda,RWA,United States of America,USA,481
1996,El Salvador,SLV,Australia,AUS,1113
1996,El Salvador,SLV,Netherlands (Kingdom of the),NLD,11
1996,El Salvador,SLV,United States of America,USA,981
1996,Saudi Arabia,SAU,Australia,AUS,5
1996,Saudi Arabia,SAU,United States of America,USA,5
1996,Senegal,SEN,Netherlands (Kingdom of the),NLD,5
1996,Senegal,SEN,United States of America,USA,51
1996,Seychelles,SYC,United Kingdom of Great Britain and Northern Ireland,GBR,25
1996,Singapore,SGP,Australia,AUS,10
1996,Sierra Leone,SLE,United Kingdom of Great Britain and Northern Ireland,GBR,60
1996,Sierra Leone,SLE,Netherlands (Kingdom of the),NLD,221
1996,Sierra Leone,SLE,United States of America,USA,310
1996,Solomon Islands,SLB,Netherlands (Kingdom of the),NLD,34
1996,Somalia,SOM,Australia,AUS,1495
1996,Somalia,SOM,United Kingdom of Great Britain and Northern Ireland,GBR,14768
1996,Somalia,SOM,Malaysia,MYS,77
1996,Somalia,SOM,Netherlands (Kingdom of the),NLD,15787
1996,Somalia,SOM,United States of America,USA,18201
1996,Serbia and Kosovo: S/RES/1244 (1999),SRB,Australia,AUS,18452
1996,Serbia and Kosovo: S/RES/1244 (1999),SRB,United Kingdom of Great Britain and Northern Ireland,GBR,3810
1996,Serbia and Kosovo: S/RES/1244 (1999),SRB,Netherlands (Kingdom of the),NLD,6093
1996,Serbia and Kosovo: S/RES/1244 (1999),SRB,United States of America,USA,1694
1996,Viet Nam,VNM,Australia,AUS,8121
1996,Viet Nam,VNM,United Kingdom of Great Britain and Northern Ireland,GBR,5
1996,Viet Nam,VNM,Netherlands (Kingdom of the),NLD,1787
1996,Viet Nam,VNM,United States of America,USA,174633
1996,Stateless,XXA,Australia,AUS,33
1996,Stateless,XXA,United Kingdom of Great Britain and Northern Ireland,GBR,70
1996,Stateless,XXA,Netherlands (Kingdom of the),NLD,403
1996,Stateless,XXA,United States of America,USA,18
1996,Sao Tome and Principe,STP,Australia,AUS,5
1996,Sudan,SDN,Australia,AUS,1270
1996,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR,1902
1996,Sudan,SDN,Netherlands (Kingdom of the),NLD,609
1996,Sudan,SDN,United States of America,USA,5132
1996,Suriname,SUR,Netherlands (Kingdom of the),NLD,734
1996,Suriname,SUR,United States of America,USA,8
1996,Slovakia,SVK,Netherlands (Kingdom of the),NLD,29
1996,Slovakia,SVK,United States of America,USA,15
1996,Slovenia,SVN,Australia,AUS,10
1996,Slovenia,SVN,United States of America,USA,5
1996,Syrian Arab Rep.,SYR,Australia,AUS,18
1996,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1996,Syrian Arab Rep.,SYR,Netherlands (Kingdom of the),NLD,1502
1996,Syrian Arab Rep.,SYR,United States of America,USA,2703
1996,United Rep. of Tanzania,TZA,Australia,AUS,7
1996,United Rep. of Tanzania,TZA,Netherlands (Kingdom of the),NLD,11
1996,Thailand,THA,Australia,AUS,15
1996,Tajikistan,TJK,Australia,AUS,8
1996,Tajikistan,TJK,Netherlands (Kingdom of the),NLD,17
1996,Tajikistan,TJK,United States of America,USA,27
1996,Turkmenistan,TKM,United States of America,USA,8
1996,Togo,TGO,United Kingdom of Great Britain and Northern Ireland,GBR,10
1996,Togo,TGO,Netherlands (Kingdom of the),NLD,90
1996,Togo,TGO,United States of America,USA,180
1996,Tonga,TON,Australia,AUS,5
1996,Trinidad and Tobago,TTO,United States of America,USA,5
1996,Tunisia,TUN,Netherlands (Kingdom of the),NLD,19
1996,Tunisia,TUN,United States of America,USA,5
1996,Türkiye,TUR,Australia,AUS,216
1996,Türkiye,TUR,United Kingdom of Great Britain and Northern Ireland,GBR,5701
1996,Türkiye,TUR,Netherlands (Kingdom of the),NLD,2164
1996,Türkiye,TUR,United States of America,USA,66
1996,Tuvalu,TUV,Netherlands (Kingdom of the),NLD,5
1996,Uganda,UGA,Australia,AUS,74
1996,Uganda,UGA,United Kingdom of Great Britain and Northern Ireland,GBR,3838
1996,Uganda,UGA,Netherlands (Kingdom of the),NLD,34
1996,Uganda,UGA,United States of America,USA,245
1996,Unknown ,UNK,Australia,AUS,3713
1996,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,38562
1996,Unknown ,UNK,Malaysia,MYS,12
1996,Unknown ,UNK,Netherlands (Kingdom of the),NLD,5577
1996,Unknown ,UNK,United States of America,USA,70929
1996,Ukraine,UKR,Australia,AUS,559
1996,Ukraine,UKR,Netherlands (Kingdom of the),NLD,293
1996,Ukraine,UKR,United States of America,USA,835
1996,Uzbekistan,UZB,Australia,AUS,60
1996,Uzbekistan,UZB,Netherlands (Kingdom of the),NLD,13
1996,Uzbekistan,UZB,United States of America,USA,119
1996,Venezuela (Bolivarian Republic of),VEN,United States of America,USA,5
1996,Yemen,YEM,United Kingdom of Great Britain and Northern Ireland,GBR,10
1996,Yemen,YEM,Netherlands (Kingdom of the),NLD,27
1996,Yemen,YEM,United States of America,USA,104
1996,Zambia,ZMB,United States of America,USA,7
1996,Zimbabwe,ZWE,United Kingdom of Great Britain and Northern Ireland,GBR,5
1996,Zimbabwe,ZWE,United States of America,USA,5
1997,Afghanistan,AFG,Australia,AUS,2237
1997,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,1915
1997,Afghanistan,AFG,Malaysia,MYS,55
1997,Afghanistan,AFG,Netherlands (Kingdom of the),NLD,12003
1997,Afghanistan,AFG,United States of America,USA,2651
1997,Albania,ALB,Australia,AUS,8
1997,Albania,ALB,Netherlands (Kingdom of the),NLD,147
1997,Albania,ALB,United States of America,USA,1999
1997,Algeria,DZA,Australia,AUS,107
1997,Algeria,DZA,United Kingdom of Great Britain and Northern Ireland,GBR,180
1997,Algeria,DZA,Netherlands (Kingdom of the),NLD,197
1997,Algeria,DZA,United States of America,USA,320
1997,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,281
1997,Angola,AGO,Netherlands (Kingdom of the),NLD,1272
1997,Angola,AGO,United States of America,USA,22
1997,Egypt,EGY,Australia,AUS,168
1997,Egypt,EGY,Netherlands (Kingdom of the),NLD,83
1997,Egypt,EGY,United States of America,USA,671
1997,Argentina,ARG,Netherlands (Kingdom of the),NLD,5
1997,Argentina,ARG,United States of America,USA,5
1997,Armenia,ARM,Australia,AUS,25
1997,Armenia,ARM,Netherlands (Kingdom of the),NLD,568
1997,Armenia,ARM,United States of America,USA,1209
1997,Austria,AUT,Australia,AUS,12
1997,Azerbaijan,AZE,Australia,AUS,5
1997,Azerbaijan,AZE,Netherlands (Kingdom of the),NLD,226
1997,Azerbaijan,AZE,United States of America,USA,326
1997,Burundi,BDI,Netherlands (Kingdom of the),NLD,105
1997,Burundi,BDI,United States of America,USA,372
1997,Benin,BEN,United States of America,USA,6
1997,Bangladesh,BGD,Australia,AUS,25
1997,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR,30
1997,Bangladesh,BGD,Netherlands (Kingdom of the),NLD,67
1997,Bangladesh,BGD,United States of America,USA,1090
1997,Bhutan,BTN,Netherlands (Kingdom of the),NLD,13
1997,Burkina Faso,BFA,Netherlands (Kingdom of the),NLD,8
1997,Burkina Faso,BFA,United States of America,USA,11
1997,Belarus,BLR,Australia,AUS,15
1997,Belarus,BLR,Netherlands (Kingdom of the),NLD,10
1997,Belarus,BLR,United States of America,USA,83
1997,Bolivia (Plurinational State of),BOL,Netherlands (Kingdom of the),NLD,5
1997,Bolivia (Plurinational State of),BOL,United States of America,USA,36
1997,Brazil,BRA,Australia,AUS,16
1997,Brazil,BRA,United States of America,USA,60
1997,Bosnia and Herzegovina,BIH,Australia,AUS,4672
1997,Bosnia and Herzegovina,BIH,Malaysia,MYS,5
1997,Bosnia and Herzegovina,BIH,Netherlands (Kingdom of the),NLD,23675
1997,Bosnia and Herzegovina,BIH,United States of America,USA,53082
1997,Bulgaria,BGR,Australia,AUS,7
1997,Bulgaria,BGR,United Kingdom of Great Britain and Northern Ireland,GBR,36
1997,Bulgaria,BGR,Netherlands (Kingdom of the),NLD,73
1997,Bulgaria,BGR,United States of America,USA,449
1997,Cambodia,KHM,Australia,AUS,1964
1997,Cambodia,KHM,Netherlands (Kingdom of the),NLD,102
1997,Cambodia,KHM,United States of America,USA,82
1997,Canada,CAN,United States of America,USA,7
1997,Chad,TCD,Netherlands (Kingdom of the),NLD,5
1997,Chad,TCD,United States of America,USA,46
1997,China,CHN,Australia,AUS,617
1997,China,CHN,United Kingdom of Great Britain and Northern Ireland,GBR,335
1997,China,CHN,Netherlands (Kingdom of the),NLD,1528
1997,China,CHN,United States of America,USA,3509
1997,Chile,CHL,Australia,AUS,7
1997,Chile,CHL,Netherlands (Kingdom of the),NLD,97
1997,Chile,CHL,United States of America,USA,5
1997,Cameroon,CMR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1997,Cameroon,CMR,Netherlands (Kingdom of the),NLD,19
1997,Cameroon,CMR,United States of America,USA,547
1997,Congo,COG,Netherlands (Kingdom of the),NLD,9
1997,Congo,COG,United States of America,USA,5
1997,Dem. Rep. of the Congo,COD,Australia,AUS,19
1997,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR,373
1997,Dem. Rep. of the Congo,COD,Malaysia,MYS,10
1997,Dem. Rep. of the Congo,COD,Netherlands (Kingdom of the),NLD,1468
1997,Dem. Rep. of the Congo,COD,United States of America,USA,1066
1997,Colombia,COL,Australia,AUS,37
1997,Colombia,COL,United Kingdom of Great Britain and Northern Ireland,GBR,203
1997,Colombia,COL,Netherlands (Kingdom of the),NLD,15
1997,Colombia,COL,United States of America,USA,488
1997,Cuba,CUB,Netherlands (Kingdom of the),NLD,7
1997,Cuba,CUB,United States of America,USA,21308
1997,Czechia,CZE,Australia,AUS,8
1997,Czechia,CZE,Netherlands (Kingdom of the),NLD,50
1997,Czechia,CZE,United States of America,USA,16
1997,Djibouti,DJI,Australia,AUS,5
1997,Djibouti,DJI,United Kingdom of Great Britain and Northern Ireland,GBR,10
1997,Djibouti,DJI,Netherlands (Kingdom of the),NLD,5
1997,Djibouti,DJI,United States of America,USA,16
1997,Dominican Rep.,DOM,United States of America,USA,5
1997,Ecuador,ECU,Australia,AUS,5
1997,Ecuador,ECU,United States of America,USA,22
1997,Eritrea,ERI,Australia,AUS,614
1997,Eritrea,ERI,Netherlands (Kingdom of the),NLD,45
1997,Eritrea,ERI,United States of America,USA,46
1997,Estonia,EST,Australia,AUS,5
1997,Estonia,EST,Netherlands (Kingdom of the),NLD,9
1997,Estonia,EST,United States of America,USA,99
1997,Ethiopia,ETH,Australia,AUS,1481
1997,Ethiopia,ETH,United Kingdom of Great Britain and Northern Ireland,GBR,4950
1997,Ethiopia,ETH,Netherlands (Kingdom of the),NLD,2288
1997,Ethiopia,ETH,United States of America,USA,7832
1997,French Guiana,GUF,Netherlands (Kingdom of the),NLD,5
1997,Fiji,FJI,Australia,AUS,7
1997,Fiji,FJI,United States of America,USA,299
1997,France,FRA,Australia,AUS,8
1997,France,FRA,United States of America,USA,13
1997,Gambia,GMB,United Kingdom of Great Britain and Northern Ireland,GBR,25
1997,Gambia,GMB,Netherlands (Kingdom of the),NLD,8
1997,Gambia,GMB,United States of America,USA,276
1997,Palestinian,PSE,Australia,AUS,25
1997,United Kingdom of Great Britain and Northern Ireland,GBR,United States of America,USA,36
1997,Georgia,GEO,Australia,AUS,8
1997,Georgia,GEO,Netherlands (Kingdom of the),NLD,433
1997,Georgia,GEO,United States of America,USA,261
1997,Germany,DEU,Australia,AUS,27
1997,Germany,DEU,United States of America,USA,7
1997,Ghana,GHA,Australia,AUS,9
1997,Ghana,GHA,United Kingdom of Great Britain and Northern Ireland,GBR,422
1997,Ghana,GHA,Netherlands (Kingdom of the),NLD,115
1997,Ghana,GHA,United States of America,USA,324
1997,Guinea-Bissau,GNB,Netherlands (Kingdom of the),NLD,5
1997,Greece,GRC,Australia,AUS,5
1997,Guatemala,GTM,Australia,AUS,10
1997,Guatemala,GTM,United States of America,USA,3468
1997,Guinea,GIN,Netherlands (Kingdom of the),NLD,123
1997,Guinea,GIN,United States of America,USA,137
1997,Guyana,GUY,United States of America,USA,8
1997,Haiti,HTI,Netherlands (Kingdom of the),NLD,5
1997,Haiti,HTI,United States of America,USA,11888
1997,Honduras,HND,Australia,AUS,5
1997,Honduras,HND,United States of America,USA,644
1997,Croatia,HRV,Australia,AUS,1609
1997,Croatia,HRV,Netherlands (Kingdom of the),NLD,831
1997,Croatia,HRV,United States of America,USA,264
1997,Hungary,HUN,Netherlands (Kingdom of the),NLD,51
1997,Hungary,HUN,United States of America,USA,65
1997,Cote d'Ivoire,CIV,United Kingdom of Great Britain and Northern Ireland,GBR,60
1997,Cote d'Ivoire,CIV,Netherlands (Kingdom of the),NLD,15
1997,Cote d'Ivoire,CIV,United States of America,USA,161
1997,India,IND,Australia,AUS,93
1997,India,IND,United Kingdom of Great Britain and Northern Ireland,GBR,980
1997,India,IND,Netherlands (Kingdom of the),NLD,40
1997,India,IND,United States of America,USA,5503
1997,Indonesia,IDN,Australia,AUS,402
1997,Indonesia,IDN,Malaysia,MYS,20
1997,Indonesia,IDN,Netherlands (Kingdom of the),NLD,102
1997,Indonesia,IDN,United States of America,USA,9
1997,Iran (Islamic Rep. of),IRN,Australia,AUS,1970
1997,Iran (Islamic Rep. of),IRN,United Kingdom of Great Britain and Northern Ireland,GBR,3016
1997,Iran (Islamic Rep. of),IRN,Malaysia,MYS,6
1997,Iran (Islamic Rep. of),IRN,Netherlands (Kingdom of the),NLD,10186
1997,Iran (Islamic Rep. of),IRN,United States of America,USA,8701
1997,Iraq,IRQ,Australia,AUS,9009
1997,Iraq,IRQ,United Kingdom of Great Britain and Northern Ireland,GBR,5125
1997,Iraq,IRQ,Malaysia,MYS,20
1997,Iraq,IRQ,Netherlands (Kingdom of the),NLD,18409
1997,Iraq,IRQ,United States of America,USA,25384
1997,Israel,ISR,Australia,AUS,24
1997,Israel,ISR,Netherlands (Kingdom of the),NLD,27
1997,Israel,ISR,United States of America,USA,69
1997,Italy,ITA,United States of America,USA,5
1997,Jamaica,JAM,United States of America,USA,9
1997,Jordan,JOR,Australia,AUS,19
1997,Jordan,JOR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1997,Jordan,JOR,Netherlands (Kingdom of the),NLD,19
1997,Jordan,JOR,United States of America,USA,204
1997,Kazakhstan,KAZ,Australia,AUS,28
1997,Kazakhstan,KAZ,Netherlands (Kingdom of the),NLD,13
1997,Kazakhstan,KAZ,United States of America,USA,91
1997,Kenya,KEN,Australia,AUS,22
1997,Kenya,KEN,United Kingdom of Great Britain and Northern Ireland,GBR,80
1997,Kenya,KEN,Netherlands (Kingdom of the),NLD,6
1997,Kenya,KEN,United States of America,USA,107
1997,Kyrgyzstan,KGZ,United States of America,USA,32
1997,Rep. of Korea,KOR,Australia,AUS,11
1997,Rep. of Korea,KOR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1997,Rep. of Korea,KOR,United States of America,USA,5
1997,Kuwait,KWT,Australia,AUS,77
1997,Kuwait,KWT,Netherlands (Kingdom of the),NLD,10
1997,Kuwait,KWT,United States of America,USA,90
1997,Lao People's Dem. Rep.,LAO,Australia,AUS,239
1997,Lao People's Dem. Rep.,LAO,United States of America,USA,20356
1997,Liberia,LBR,Australia,AUS,6
1997,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,260
1997,Liberia,LBR,Netherlands (Kingdom of the),NLD,938
1997,Liberia,LBR,United States of America,USA,4717
1997,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,20
1997,Libya,LBY,Netherlands (Kingdom of the),NLD,22
1997,Libya,LBY,United States of America,USA,39
1997,Lebanon,LBN,Australia,AUS,84
1997,Lebanon,LBN,United Kingdom of Great Britain and Northern Ireland,GBR,1668
1997,Lebanon,LBN,Netherlands (Kingdom of the),NLD,386
1997,Lebanon,LBN,United States of America,USA,438
1997,Sri Lanka,LKA,Australia,AUS,1742
1997,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,9367
1997,Sri Lanka,LKA,Netherlands (Kingdom of the),NLD,1972
1997,Sri Lanka,LKA,United States of America,USA,418
1997,Lithuania,LTU,Australia,AUS,7
1997,Lithuania,LTU,Netherlands (Kingdom of the),NLD,13
1997,Lithuania,LTU,United States of America,USA,28
1997,Latvia,LVA,Australia,AUS,7
1997,Latvia,LVA,Netherlands (Kingdom of the),NLD,10
1997,Latvia,LVA,United States of America,USA,61
1997,Mauritania,MRT,Netherlands (Kingdom of the),NLD,119
1997,Mauritania,MRT,United States of America,USA,1206
1997,North Macedonia,MKD,Australia,AUS,23
1997,North Macedonia,MKD,Netherlands (Kingdom of the),NLD,61
1997,Rep. of Moldova,MDA,Australia,AUS,23
1997,Rep. of Moldova,MDA,Netherlands (Kingdom of the),NLD,19
1997,Mexico,MEX,United States of America,USA,272
1997,Mali,MLI,Netherlands (Kingdom of the),NLD,9
1997,Mali,MLI,United States of America,USA,48
1997,Malaysia,MYS,Australia,AUS,5
1997,Malawi,MWI,Netherlands (Kingdom of the),NLD,5
1997,Malawi,MWI,United States of America,USA,5
1997,Mongolia,MNG,Netherlands (Kingdom of the),NLD,5
1997,Mongolia,MNG,United States of America,USA,5
1997,Morocco,MAR,Australia,AUS,5
1997,Morocco,MAR,Netherlands (Kingdom of the),NLD,40
1997,Morocco,MAR,United States of America,USA,5
1997,Mozambique,MOZ,United States of America,USA,5
1997,Myanmar,MMR,Australia,AUS,1760
1997,Myanmar,MMR,United Kingdom of Great Britain and Northern Ireland,GBR,15
1997,Myanmar,MMR,Malaysia,MYS,5104
1997,Myanmar,MMR,Netherlands (Kingdom of the),NLD,28
1997,Myanmar,MMR,United States of America,USA,1135
1997,Nepal,NPL,Australia,AUS,9
1997,Nepal,NPL,United States of America,USA,24
1997,Netherlands (Kingdom of the),NLD,United States of America,USA,5
1997,Niger,NER,Australia,AUS,7
1997,Niger,NER,Netherlands (Kingdom of the),NLD,9
1997,Niger,NER,United States of America,USA,238
1997,Nicaragua,NIC,Australia,AUS,15
1997,Nicaragua,NIC,Netherlands (Kingdom of the),NLD,5
1997,Nicaragua,NIC,United States of America,USA,2332
1997,Nigeria,NGA,Australia,AUS,7
1997,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,145
1997,Nigeria,NGA,Netherlands (Kingdom of the),NLD,81
1997,Nigeria,NGA,United States of America,USA,716
1997,Pakistan,PAK,Australia,AUS,244
1997,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,830
1997,Pakistan,PAK,Netherlands (Kingdom of the),NLD,209
1997,Pakistan,PAK,United States of America,USA,2062
1997,Panama,PAN,Netherlands (Kingdom of the),NLD,5
1997,Panama,PAN,United States of America,USA,20
